year,month,value
2017,8,0.00040397375000000006
2017,9,0.00040017666666666667
2017,10,0.00040351875000000005
2017,11,0.0004058883333333334
2017,12,0.00040996875
2018,1,0.0004122975
2018,2,0.0004114566666666666
2018,3,0.0004109699999999999
2018,4,0.000412737
2018,5,0.00041311875
2018,6,0.00041139875
2018,7,0.000407215
2018,8,0.00040350125
2018,9,0.00040588999999999995
2018,10,0.00040720375
2018,11,0.00040977
2018,12,0.00041174625000000003
2019,1,0.00041471
2019,2,0.00041300166666666667
2019,3,0.000415095
2019,4,0.0004159425
2019,5,0.0004155725
2019,6,0.00041283875
2019,7,0.00040989
2019,8,0.0004090283333333333
2019,9,0.000406645
2019,10,0.00040904375
2019,11,0.00041259
2019,12,0.000413804
year,month,value
2003,12,0.00037417250000000004
2004,1,0.0003750875
2004,2,0.00038001
2004,4,0.00037336000000000004
2004,5,0.00037550374999999994
2004,6,0.0003713375
2004,7,0.00037401625
2004,8,0.0003738416666666667
2004,9,0.00037462249999999997
2004,10,0.0003739425
2005,2,0.0003778225
2005,3,0.000378946
2005,4,0.00037886
2005,5,0.0003737825
2005,6,0.00037812875
2005,7,0.00037451499999999996
2005,8,0.00037595
2005,12,0.00037816499999999997
2006,1,0.000379405
2006,2,0.0003821775
2006,3,0.000382095
2006,4,0.0003788125
2006,5,0.0003776225
2006,7,0.000377105
2006,8,0.000377965
2008,9,0.000383735
2008,10,0.0003831866666666667
2008,11,0.000378675
2008,12,0.000383
2009,1,0.00038504500000000004
2009,2,0.00038561
2009,3,0.00038315
2009,5,0.00038732
2009,6,0.00038695
2009,7,0.000386225
2009,8,0.00038493500000000004
2009,9,0.0003853633333333333
2009,10,0.00038559499999999997
2009,11,0.000382505
2009,12,0.0003834725
2010,1,0.00038665
2010,2,0.00038889999999999997
2010,3,0.0003876675
2010,4,0.00038463500000000003
2010,5,0.0003866675
2010,6,0.00038538166666666666
2010,7,0.00038395333333333335
2010,8,0.00038578
2010,10,0.0003860716666666667
2010,11,0.00038719
2010,12,0.0003857925
2011,3,0.0003911125
2011,4,0.000386165
2011,5,0.0003902833333333333
2011,6,0.0003885375
year,month,value
1969,8,0.00032302000000000003
1969,9,0.00032114750000000004
1969,10,0.000320734
1969,11,0.00032259750000000005
1969,12,0.0003231525
1970,1,0.00032515666666666664
1970,2,0.00032536625
1970,3,0.00032587375
1970,4,0.000326435
1970,5,0.0003274825
1970,6,0.0003280975
1970,7,0.000326042
1970,8,0.00032413833333333334
1970,9,0.00032152000000000005
1971,8,0.00032538625
1974,5,0.000334065
1976,6,0.00033387
1976,7,0.0003320925
1976,8,0.000330488
1976,9,0.00032979099999999996
1976,10,0.00032893666666666664
1976,11,0.00033016874999999997
1976,12,0.0003319475
1977,1,0.00033282125000000005
1977,2,0.00033299375
1977,3,0.00033402625
1977,4,0.00033582875
1977,5,0.000336725
1977,6,0.000336186
1977,7,0.00033475249999999996
1977,8,0.0003316625
1977,9,0.00033085625
1977,10,0.00033020333333333337
1977,11,0.00033184375
1977,12,0.000333553
1978,1,0.00033486333333333334
1978,2,0.00033580625
1978,3,0.00033679500000000003
1978,4,0.0003377175
1978,5,0.00033852833333333337
1978,6,0.00033749
1978,7,0.00033554
1978,8,0.00033330833333333336
1978,9,0.000332289
1978,10,0.0003319733333333333
1978,11,0.00033352299999999996
1978,12,0.000334319
1979,1,0.00033654999999999997
1979,2,0.0003369183333333333
1979,3,0.00033871374999999997
1979,4,0.00033833375000000005
1979,5,0.00033897
1979,6,0.00033940099999999997
1979,7,0.00033676875
1979,8,0.0003355675
1979,9,0.000334251
1979,10,0.000334135
1979,11,0.00033565250000000004
1979,12,0.000336403
1980,3,0.000340975
1980,4,0.000341728
1980,5,0.000342595
1980,6,0.0003420485
1980,7,0.000340325
1980,8,0.00033692749999999995
1980,9,0.00033695
1980,10,0.0003363683333333333
1980,11,0.00033736875
1980,12,0.00033927333333333334
1981,1,0.00034021333333333334
1981,5,0.00034358625000000003
